tau,name f1,name f2,result,overlap_KOw_0-2ya,overlap_KOl_0-2ya,overlap_Subw_0-2ya,overlap_Subl_0-2ya,overlap_Decw_0-2ya,overlap_Decl_0-2ya,overlap_KOw_vs_KOl_0-2ya,overlap_KOw_vs_Subw_0-2ya,overlap_KOw_vs_Subl_0-2ya,overlap_KOw_vs_Decw_0-2ya,overlap_KOw_vs_Decl_0-2ya,overlap_KOl_vs_KOw_0-2ya,overlap_KOl_vs_Subw_0-2ya,overlap_KOl_vs_Subl_0-2ya,overlap_KOl_vs_Decw_0-2ya,overlap_KOl_vs_Decl_0-2ya,overlap_Subw_vs_KOw_0-2ya,overlap_Subw_vs_KOl_0-2ya,overlap_Subw_vs_Subl_0-2ya,overlap_Subw_vs_Decw_0-2ya,overlap_Subw_vs_Decl_0-2ya,overlap_Subl_vs_KOw_0-2ya,overlap_Subl_vs_KOl_0-2ya,overlap_Subl_vs_Subw_0-2ya,overlap_Subl_vs_Decw_0-2ya,overlap_Subl_vs_Decl_0-2ya,overlap_Decw_vs_KOw_0-2ya,overlap_Decw_vs_KOl_0-2ya,overlap_Decw_vs_Subw_0-2ya,overlap_Decw_vs_Subl_0-2ya,overlap_Decw_vs_Decl_0-2ya,overlap_Decl_vs_KOw_0-2ya,overlap_Decl_vs_KOl_0-2ya,overlap_Decl_vs_Subw_0-2ya,overlap_Decl_vs_Subl_0-2ya,overlap_Decl_vs_Decw_0-2ya,tot_KOw_0-2ya_f1,tot_KOw_0-2ya_f2,tot_KOl_0-2ya_f1,tot_KOl_0-2ya_f2,tot_Subw_0-2ya_f1,tot_Subw_0-2ya_f2,tot_Subl_0-2ya_f1,tot_Subl_0-2ya_f2,tot_Decw_0-2ya_f1,tot_Decw_0-2ya_f2,tot_Decl_0-2ya_f1,tot_Decl_0-2ya_f2
53,Benji Radach,Steve Berger,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Caol Uno,Yves Edwards,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,Ivan Salaverry,Andrei Semenov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Murilo Bustamante,Matt Lindland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,Phil Baroni,Amar Suloev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Ricco Rodriguez,Tsuyoshi Kohsaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
53,Robbie Lawler,Aaron Riley,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Benji Radach,Nick Serra,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Chuck Liddell,Vitor Belfort,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
59,Pete Spratt,Zach Light,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
