name f1,E f1,R f1,R _REMOVE_ f1,name f2,E f2,R f2,R _REMOVE_ f2,tau,result
Roy Nelson,,,1524.6402758007582,Brendan Schaub,,,1475.3597241992418,448,0
Alan Belcher,0.4094832042988616,1520.8736554461434,1545.3407736486008,Wilson Gouveia,0.5905167957011384,1552.6728877284788,1528.2057695260214,449,0
BJ Penn,0.4689158195107661,1620.4833272234869,1633.81440409598,Diego Sanchez,0.5310841804892339,1631.297023362716,1613.26803974423,449,0
DaMarques Johnson,0.48095087878944887,1475.3597241992418,1500.8112558891985,Edgar Garcia,0.5190491212105511,1481.9812716942695,1456.5297400043128,449,1
Frank Mir,0.5385695806547871,1569.1811086552648,1582.1042243445195,Cheick Kongo,0.4614304193452129,1555.7539889557609,1537.6463781021823,449,1
Johny Hendricks,0.5802139187698979,1528.1120216465456,1548.6961981971435,Ricardo Funch,0.4197860812301021,,1479.3127103623417,449,2
Jon Fitch,0.7836747618080308,1643.034272253307,1650.9793597940763,Mike Pierce,0.21632523819196925,1531.2285382557743,1520.6210476923775,449,2
Kenny Florian,0.6727418332717068,1618.4212587699783,1629.5308574809114,Clay Guida,0.3272581667282932,1555.8296705328175,1542.270252229476,449,1
Matt Wiman,0.4975287689737848,1508.6580414510677,1531.1665723911738,Shane Nelson,0.5024712310262152,1509.5166420409466,1485.2594867078922,449,2
Rousimar Palhares,0.5523418475001108,1518.2522900455667,1539.8633051063105,Lucio Linhares,0.44765815249988916,,1477.9391593158898,449,1
Stefan Struve,0.4405650664492293,1528.3694352152443,1555.3765537206418,Paul Buentello,0.5594349335507707,1549.1173400709904,1522.4283592548454,449,2
TJ Grant,0.5313595304246113,1502.3961922238218,1525.2228172329337,Kevin Burns,0.46864046957538874,1491.4864552319777,1469.129008901659,449,0
Cole Miller,0.6494023281707164,1533.750994030535,1549.8819860520314,Dan Lauzon,0.3505976718292836,1480.2100313346712,1463.0185028446954,452,1
Jake Ellenberger,0.4087194986893752,1473.232575222718,1502.2259667954904,Mike Pyle,0.5912805013106248,1505.3062153201624,1476.5060173969096,452,0
Jim Miller,0.5556447639766852,1571.1424197093427,1592.011862331003,Duane Ludwig,0.44435523602331484,1551.72903487021,1530.0852994225868,452,1
Junior Dos Santos,0.6918781061569818,1570.261405884982,1585.1362090159,Gilbert Yvel,0.30812189384301825,,1484.8155831109123,452,0
Mark Munoz,0.6006522972028545,1510.9005671082946,1530.3520674626282,Ryan Jensen,0.3993477027971455,1475.4461767417388,1456.3944827202797,452,0
Martin Kampmann,0.7007580377322269,1552.9291532438058,1565.880565434897,Jacob Volkmann,0.2992419622677731,1479.0200344654697,1464.3467290413892,452,1
Paul Daley,0.39112416873607614,1535.8797321663462,1565.7359093206783,Dustin Hazelett,0.6088758312639239,1574.3225486378406,1547.0475532939345,452,0
Rafaello Oliveira,0.42955140044169904,1475.3597241992418,1503.331625153988,John Gunderson,0.570448599558301,,1471.8879783534544,452,2
Rashad Evans,0.6409584806472155,1635.9947251635456,1650.0843556693617,Thiago Silva,0.3590415193527845,1585.657680143096,1569.1381868622454,452,2
Sam Stout,0.2745468498804982,1496.4785031402473,1528.9756565428672,Joe Lauzon,0.7254531501195018,1580.8770843090485,1547.498999065387,452,2
Aaron Simpson,0.4903131738093856,1546.6861335773112,1571.5120519707418,Tom Lawlor,0.5096868261906145,1550.0521028747128,1525.2261844812822,453,2
Amir Sadollah,0.3567288777858095,1514.4563251911904,1545.510695211439,Brad Blackburn,0.6432711222141905,1565.6674827593583,1534.6131127391097,453,2
Chris Leben,0.6125292915678391,1515.9826062016002,1527.993875593306,Jay Silva,0.3874707084321609,1476.2050092004501,1457.2054143420846,453,2
Evan Dunham,0.4677292974183592,1543.1551696163167,1569.0811075579888,Efrain Escudero,0.5322707025816408,1554.3827672858415,1528.4568293441694,453,1
