age f1,height f1,reach f1,tau,name f1,normal bout,3 rounds,female,male,Catch weight,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,title bout,5 rounds,has title bout f1,has not title bout f1,tot title bout f1,has 5 rounds f1,has not 5 rounds f1,tot 5 rounds f1,has round 1 fought f1,has not round 1 fought f1,tot round 1 fought f1,has round 2 fought f1,has not round 2 fought f1,tot round 2 fought f1,has round 3 fought f1,has not round 3 fought f1,tot round 3 fought f1,has round 4 fought f1,has not round 4 fought f1,tot round 4 fought f1,has round 5 fought f1,has not round 5 fought f1,tot round 5 fought f1,tot r1 time f1,tot r2 time f1,tot r3 time f1,tot r4 time f1,tot r5 time f1,weeks active f1,last fight wa f1,age f2,height f2,reach f2,name f2,has title bout f2,has not title bout f2,tot title bout f2,has 5 rounds f2,has not 5 rounds f2,tot 5 rounds f2,has round 1 fought f2,has not round 1 fought f2,tot round 1 fought f2,has round 2 fought f2,has not round 2 fought f2,tot round 2 fought f2,has round 3 fought f2,has not round 3 fought f2,tot round 3 fought f2,has round 4 fought f2,has not round 4 fought f2,tot round 4 fought f2,has round 5 fought f2,has not round 5 fought f2,tot round 5 fought f2,tot r1 time f2,tot r2 time f2,tot r3 time f2,tot r4 time f2,tot r5 time f2,weeks active f2,last fight wa f2
1746.0,177.8,70.0,559,Duane Ludwig,1,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,6,1,0,3,1,0,3,0,1,0,0,1,0,1101.0,900.0,900.0,0.0,0.0,456,23.0,1504.0,180.34,72.0,Josh Neer,0,1,0,0,1,0,1,0,11,1,0,9,1,0,7,0,1,0,0,1,0,3055.0,2616.0,1902.0,0.0,0.0,337,16.0
1725.0,177.8,71.0,559,Fabricio Camoes,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,2,1,0,1,0,1,0,0,1,0,600.0,560.0,300.0,0.0,0.0,113,95.0,1349.0,175.26,,Tommy Hayden,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
2081.0,185.42,73.0,559,Jorge Rivera,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,14,1,0,8,1,0,6,0,1,0,0,1,0,3024.0,1943.0,1581.0,0.0,0.0,434,24.0,1791.0,190.5,76.0,Eric Schafer,0,1,0,0,1,0,1,0,8,1,0,4,1,0,3,0,1,0,0,1,0,2118.0,1067.0,900.0,0.0,0.0,282,15.0
1340.0,170.18,,559,Joseph Sandoval,1,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,77.0,0.0,0.0,0.0,0.0,16,16.0,1475.0,170.18,,Nick Denis,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
2055.0,172.72,68.0,559,Kamal Shalorus,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,300.0,300.0,135.0,0.0,0.0,44,44.0,1217.0,177.8,70.0,Khabib Nurmagomedov,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1503.0,175.26,71.0,559,Melvin Guillard,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,15,1,0,6,1,0,3,0,1,0,0,1,0,3065.0,1269.0,900.0,0.0,0.0,324,15.0,1481.0,172.72,71.0,Jim Miller,0,1,0,0,1,0,1,0,11,1,0,9,1,0,8,0,1,0,0,1,0,2970.0,2448.0,2134.0,0.0,0.0,170,23.0
1460.0,167.64,70.0,559,Mike Easton,1,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,300.0,292.0,0.0,0.0,0.0,16,16.0,1250.0,172.72,67.0,Jared Papazian,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1697.0,180.34,74.0,559,Pat Barry,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,7,1,0,4,1,0,2,0,1,0,0,1,0,1617.0,952.0,570.0,0.0,0.0,160,16.0,1323.0,198.12,81.0,Christian Morecraft,0,1,0,0,1,0,1,0,3,1,0,3,0,1,0,0,1,0,0,1,0,900.0,540.0,0.0,0.0,0.0,76,30.0
1816.0,185.42,73.0,560,Chael Sonnen,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,9,1,0,8,1,0,5,1,0,1,1,0,1,2557.0,1888.0,1500.0,300.0,190.0,329,16.0,1717.0,185.42,75.0,Michael Bisping,1,0,1,1,0,1,1,0,15,1,0,12,1,0,7,0,1,0,0,1,0,4386.0,3032.0,2014.0,0.0,0.0,292,8.0
1162.0,177.8,74.0,560,Charles Oliveira,1,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,1,0,2,1,0,1,0,1,0,0,1,0,941.0,408.0,145.0,0.0,0.0,78,24.0,1435.0,172.72,,Eric Wisely,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1314.0,187.96,75.0,560,Chris Camozzi,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,4,1,0,3,1,0,3,0,1,0,0,1,0,995.0,900.0,900.0,0.0,0.0,84,13.0,1242.0,190.5,76.0,Dustin Jacoby,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,300.0,300.0,300.0,0.0,0.0,13,13.0
1473.0,172.72,70.0,560,Cub Swanson,1,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,300.0,136.0,0.0,0.0,0.0,11,11.0,1576.0,185.42,72.0,George Roop,0,1,0,0,1,0,1,0,6,1,0,5,1,0,4,0,1,0,0,1,0,1588.0,1319.0,1094.0,0.0,0.0,163,13.0
1785.0,185.42,72.0,560,Demian Maia,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,12,1,0,8,1,0,7,1,0,1,1,0,1,2871.0,2247.0,1964.0,300.0,300.0,223,16.0,1440.0,187.96,78.0,Chris Weidman,0,1,0,0,1,0,1,0,3,1,0,1,1,0,1,0,1,0,0,1,0,721.0,300.0,300.0,0.0,0.0,48,10.0
1571.0,177.8,70.0,560,Evan Dunham,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,7,1,0,5,1,0,5,0,1,0,0,1,0,1811.0,1500.0,1319.0,0.0,0.0,153,19.0,1432.0,172.72,68.0,Nik Lentz,0,1,0,0,1,0,1,0,8,1,0,8,1,0,7,0,1,0,0,1,0,2400.0,2208.0,1944.0,0.0,0.0,123,7.0
1572.0,185.42,75.0,560,Joey Beltran,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,6,1,0,6,1,0,5,0,1,0,0,1,0,1800.0,1591.0,1286.0,0.0,0.0,103,16.0,1807.0,193.04,82.0,Lavar Johnson,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
