suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0,34,False,6,0.0204645041271999,582,18,2.0325257964926395,0.8448885537253333,1,0.0,1.0,118,118,1.5947,0.2575,0.3474,0.5876,0.6675,0.6675,1.5721,0.2358,0.3549,0.635,0.6483,0.6483
natty,0,34,False,5,0.029196033104076,589,21,2.434303022535081,0.7724159021093066,1,0.0,1.0,58,58,1.5947,0.2551,0.3416,0.5872,0.6682,0.6682,1.571,0.2395,0.3592,0.6355,0.6391,0.6391
natty,0,34,False,6,0.0266177021461729,508,20,2.2106114695309174,0.8,1,0.0,1.0,95,95,1.5948,0.2552,0.3456,0.5873,0.6696,0.6696,1.5708,0.2417,0.3628,0.635,0.6463,0.6463
natty,0,34,False,5,0.0268821480065112,569,20,2.242900342605622,0.8140864307347372,1,0.0,1.0,72,72,1.5948,0.2521,0.3427,0.5878,0.6671,0.6671,1.569,0.2396,0.3603,0.6345,0.6469,0.6469
natty,0,34,False,6,0.0230461376917337,429,20,2.2200762468698008,0.7622038234844779,1,0.0,1.0,85,85,1.5949,0.2542,0.3461,0.5882,0.667,0.667,1.5708,0.2378,0.3579,0.6341,0.6465,0.6465
natty,0,34,False,6,0.0225716635461666,640,10,1.0,0.8911021909593795,1,0.0,1.0,13,103,1.5949,0.2501,0.3434,0.5876,0.665,0.665,1.5732,0.2277,0.3497,0.6361,0.6399,0.6399
natty,0,34,False,6,0.0270194980772303,607,18,2.0,0.8946068646783422,1,0.0,1.0,14,94,1.595,0.2545,0.3452,0.5872,0.6682,0.6682,1.572,0.2326,0.3533,0.6352,0.6413,0.6413
natty,0,34,False,6,0.0213949386065204,487,20,2.183180921646846,0.8,1,0.0,1.0,86,86,1.595,0.2538,0.3437,0.5885,0.6667,0.6667,1.5707,0.2393,0.3611,0.6345,0.6468,0.6468
natty,0,34,False,6,0.0217052412368729,419,20,2.4744427686266666,0.8,1,0.0,1.0,137,137,1.5951,0.2547,0.3465,0.5903,0.6658,0.6658,1.5694,0.2373,0.3591,0.6357,0.6457,0.6457
natty,0,34,False,6,0.0200473308980558,661,7,1.0,0.8105388114256299,1,0.0,1.0,13,103,1.5951,0.2522,0.3453,0.5873,0.6669,0.6669,1.5719,0.234,0.3553,0.6354,0.6423,0.6423
natty,0,34,False,6,0.0245305503605545,547,20,2.13674826070483,0.78620841747829,1,0.0,1.0,60,60,1.5952,0.253,0.3407,0.5869,0.6668,0.6668,1.5731,0.239,0.3581,0.635,0.6438,0.6438
natty,0,34,False,7,0.0230461376917337,429,20,2.3421165132560784,0.8,1,0.0,1.0,84,84,1.5953,0.2572,0.3489,0.5877,0.6674,0.6674,1.5719,0.2381,0.3566,0.6344,0.6474,0.6474
natty,0,34,False,5,0.0217425083650459,660,15,3.0,0.8,1,0.0,1.0,All,All (261),1.5953,0.2509,0.3432,0.5913,0.6637,0.6638,1.57,0.2359,0.3572,0.638,0.6428,0.6428
natty,0,34,False,6,0.0238662913238898,639,20,2.232304500089295,0.8,1,0.0,1.0,132,132,1.5955,0.2542,0.3455,0.5889,0.6684,0.6684,1.5712,0.2381,0.3576,0.6355,0.6467,0.6467
natty,0,34,False,5,0.0286090819000749,528,19,2.3658293442066816,0.8010606877407207,1,0.0,1.0,61,61,1.5955,0.2533,0.3427,0.5876,0.6686,0.6686,1.5703,0.236,0.3559,0.6344,0.6424,0.6424
natty,0,34,False,6,0.0326512772407358,492,17,2.0,0.8918168106706407,1,0.0,1.0,All,All (261),1.5955,0.2519,0.3443,0.5894,0.6674,0.6674,1.5754,0.2298,0.3499,0.6388,0.6401,0.6402
natty,0,34,False,6,0.022982337837101,610,15,2.0,0.8507300957333981,1,0.0,1.0,14,94,1.5955,0.2495,0.3401,0.5877,0.667,0.667,1.5711,0.2352,0.3552,0.6349,0.6449,0.6449
natty,0,34,False,6,0.0286608055920479,613,20,2.4969213925248543,0.8,1,0.0,1.0,109,109,1.5956,0.2552,0.3443,0.5887,0.6664,0.6664,1.5689,0.2413,0.3618,0.6346,0.6488,0.6488
natty,0,34,False,6,0.027299545632697,477,16,2.0,0.8514508026332133,1,0.0,1.0,All,All (261),1.5956,0.2527,0.346,0.589,0.6681,0.6681,1.5722,0.2323,0.3544,0.6368,0.6459,0.6459
natty,0,34,False,6,0.0308203759101666,476,19,2.0,0.8514331790343739,1,0.0,1.0,All,All (261),1.5956,0.2514,0.3438,0.589,0.6669,0.6669,1.5742,0.2369,0.3538,0.637,0.6421,0.6422
