upp_low,temp_f_id,name f1,name f2,tau
1,187,Travis Wiuff,Renato Sobral,206
0,188,Andrei Arlovski,Justin Eilers,213
1,190,Bill Mahood,Forrest Griffin,213
1,189,Charles McCarthy,David Loiseau,213
0,189,David Loiseau,Charles McCarthy,213
1,195,Evan Tanner,Rich Franklin,213
0,190,Forrest Griffin,Bill Mahood,213
1,188,Justin Eilers,Andrei Arlovski,213
0,191,Karo Parisyan,Matt Serra,213
1,194,Kevin Jordan,Paul Buentello,213
1,193,Koji Oishi,Nick Diaz,213
1,191,Matt Serra,Karo Parisyan,213
0,192,Nate Quarry,Shonie Carter,213
0,193,Nick Diaz,Koji Oishi,213
0,194,Paul Buentello,Kevin Jordan,213
0,195,Rich Franklin,Evan Tanner,213
1,192,Shonie Carter,Nate Quarry,213
1,199,Alex Karalexis,Kenny Florian,222
0,196,Chris Leben,Patrick Cote,222
0,197,Drew Fickett,Josh Neer,222
1,200,Gideon Ray,Mike Swick,222
1,201,Ivan Salaverry,Nate Marquardt,222
0,198,Josh Koscheck,Pete Spratt,222
1,197,Josh Neer,Drew Fickett,222
0,199,Kenny Florian,Alex Karalexis,222
0,200,Mike Swick,Gideon Ray,222
0,201,Nate Marquardt,Ivan Salaverry,222
0,202,Nate Quarry,Pete Sell,222
1,196,Patrick Cote,Chris Leben,222
1,202,Pete Sell,Nate Quarry,222
1,198,Pete Spratt,Josh Koscheck,222
1,203,Sam Hoger,Stephan Bonnar,222
0,203,Stephan Bonnar,Sam Hoger,222
1,205,Brian Gassaway,Diego Sanchez,224
0,204,Chuck Liddell,Jeremy Horn,224
0,205,Diego Sanchez,Brian Gassaway,224
1,206,Frank Trigg,Georges St-Pierre,224
0,206,Georges St-Pierre,Frank Trigg,224
0,207,James Irvin,Terry Martin,224
1,204,Jeremy Horn,Chuck Liddell,224
1,208,Joe Doerksen,Matt Lindland,224
0,208,Matt Lindland,Joe Doerksen,224
1,209,Mike van Arsdale,Randy Couture,224
0,209,Randy Couture,Mike van Arsdale,224
1,207,Terry Martin,James Irvin,224
0,210,Tim Sylvia,Tra Telligman,224
1,210,Tra Telligman,Tim Sylvia,224
1,211,Travis Lutter,Trevor Prangley,224
0,211,Trevor Prangley,Travis Lutter,224
0,212,Brandon Vera,Fabiano Scherner,230
1,216,Brock Larson,Jon Fitch,230
0,213,Chris Leben,Edwin DeWees,230
0,214,David Loiseau,Evan Tanner,230
